Date,Close,High,Low,Open,Volume,stock,pred_close
,AMZN,AMZN,AMZN,AMZN,AMZN,,
2026-01-02,226.5,235.4600067138672,224.6999969482422,231.33999633789062,51456200,AMZN,229.904653315895
2026-01-05,233.05999755859375,234.0,227.17999267578125,228.83999633789062,49733300,AMZN,231.8657676291319
2026-01-06,240.92999267578125,243.17999267578125,232.07000732421875,232.10000610351562,53764700,AMZN,241.70611695938933
2026-01-07,241.55999755859375,245.2899932861328,239.52000427246094,239.61000061035156,42236500,AMZN,244.06903992087993
2026-01-08,246.2899932861328,246.41000366210938,241.8800048828125,243.05999755859375,39509800,AMZN,244.5601501962236
2026-01-09,247.3800048828125,247.86000061035156,242.24000549316406,244.57000732421875,34560000,AMZN,245.17720820267238
2026-01-12,246.47000122070312,248.94000244140625,245.9600067138672,246.72999572753906,35867800,AMZN,247.41196131430198
2026-01-13,242.60000610351562,247.66000366210938,240.25,246.52999877929688,38371800,AMZN,242.37569908924365
2026-01-14,236.64999389648438,241.27999877929688,236.22000122070312,241.14999389648438,41410600,AMZN,237.08575362361105
2026-01-15,238.17999267578125,240.64999389648438,236.6300048828125,239.30999755859375,43003600,AMZN,237.96033785050741
2026-01-16,239.1199951171875,239.57000732421875,236.41000366210938,239.08999633789062,45888300,AMZN,236.95936040182204
2026-01-20,231.0,235.08999633789062,229.33999633789062,233.75999450683594,47737900,AMZN,231.26224099622354
2026-01-21,231.30999755859375,232.3000030517578,226.8800048828125,231.08999633789062,47276100,AMZN,228.65575231159562
2026-01-22,234.33999633789062,235.72000122070312,230.89999389648438,234.0500030517578,31913300,AMZN,232.6946333057099
2026-01-23,239.16000366210938,240.4499969482422,234.57000732421875,234.9600067138672,33778500,AMZN,239.05495175538252
2026-01-26,238.4199981689453,240.9499969482422,237.5399932861328,239.97999572753906,32825500,AMZN,238.41351096823757
2026-01-27,244.67999267578125,244.8800048828125,238.0800018310547,239.69000244140625,38029200,AMZN,242.61896081055426
2026-01-28,243.00999450683594,247.77999877929688,241.52999877929688,246.3699951171875,40882700,AMZN,243.4910001082347
2026-01-29,241.72999572753906,243.0,236.74000549316406,242.82000732421875,47229600,AMZN,238.0004916804227
2026-01-30,239.3000030517578,243.32000732421875,237.63999938964844,239.88999938964844,46585000,AMZN,240.7756433272254
2026-02-02,242.9600067138672,245.6300048828125,238.1699981689453,238.30999755859375,37546100,AMZN,244.24502589727481
2026-02-03,238.6199951171875,246.35000610351562,235.4499969482422,244.97999572753906,53831300,AMZN,238.84719209227424
2026-02-04,232.99000549316406,238.86000061035156,231.82000732421875,238.86000061035156,51299900,AMZN,233.26098528323092
2026-02-05,222.69000244140625,226.30999755859375,220.3800048828125,224.91000366210938,103509200,AMZN,222.69277515481753
2026-02-06,210.32000732421875,211.44000244140625,200.30999755859375,202.6999969482422,179210900,AMZN,209.259718198784
2026-02-09,208.72000122070312,212.80999755859375,203.35000610351562,208.97000122070312,91178400,AMZN,208.3727431759376
2026-02-10,206.9600067138672,212.64999389648438,206.41000366210938,208.8000030517578,67175000,AMZN,210.3866071677122
2026-02-11,204.0800018310547,208.57000732421875,202.49000549316406,208.05999755859375,65545500,AMZN,204.34467474835193
2026-02-12,199.60000610351562,203.9600067138672,197.55999755859375,203.9600067138672,83975400,AMZN,199.3035911459645
2026-02-13,198.7899932861328,201.16000366210938,197.27999877929688,198.8800048828125,66321600,AMZN,199.67511636575563
2026-02-17,201.14999389648438,201.74000549316406,196.0,198.1300048828125,69879200,AMZN,199.80264948660965
2026-02-18,204.7899932861328,206.86000061035156,201.50999450683594,202.07000732421875,51003300,AMZN,205.81926597158957
2026-02-19,204.86000061035156,205.63999938964844,202.80999755859375,203.8000030517578,35669600,AMZN,204.45387378637363
2026-02-20,210.11000061035156,211.1699981689453,203.75,204.75999450683594,65881600,AMZN,209.7126847290759
2026-02-23,205.27000427246094,208.42999267578125,203.11000061035156,208.10000610351562,53581500,AMZN,204.58133561923933
2026-02-24,208.55999755859375,210.36000061035156,203.25,205.47000122070312,41137200,AMZN,208.07965319631876
2026-02-25,210.63999938964844,211.58999633789062,208.92999267578125,210.4600067138672,41346400,AMZN,210.0287654968961
2026-02-26,207.9199981689453,211.0500030517578,205.35000610351562,210.72999572753906,47756800,AMZN,206.8804060493078
2026-02-27,210.0,210.3300018310547,205.1999969482422,206.8300018310547,57422800,AMZN,208.61191475641735
2026-03-02,208.38999938964844,209.72999572753906,203.4600067138672,204.5500030517578,46001000,AMZN,208.24410385247876
2026-03-03,208.72999572753906,209.17999267578125,202.47999572753906,203.10000610351562,43184900,AMZN,207.95889211457296
2026-03-04,216.82000732421875,217.5399932861328,210.14999389648438,210.47000122070312,54731100,AMZN,216.41240145775063
2026-03-05,218.94000244140625,220.47000122070312,215.58999633789062,215.97999572753906,60943400,AMZN,219.45469578905434
2026-03-06,213.2100067138672,217.32000732421875,212.52999877929688,214.99000549316406,51152700,AMZN,215.00128372688806
2026-03-09,213.49000549316406,213.82000732421875,207.11000061035156,210.4499969482422,54642900,AMZN,210.86768994589093
2026-03-10,214.3300018310547,215.64999389648438,212.42999267578125,214.19000244140625,35678800,AMZN,213.84192782901036
2026-03-11,212.64999389648438,217.0,211.35000610351562,215.7100067138672,34199300,AMZN,213.3662731690835
2026-03-12,209.52999877929688,211.7100067138672,208.14999389648438,210.38999938964844,44349500,AMZN,209.64924657681826
2026-03-13,207.6699981689453,210.55999755859375,206.22000122070312,209.61000061035156,35662100,AMZN,207.70205566647704
2026-03-16,211.74000549316406,212.72000122070312,207.4499969482422,208.35000610351562,42209300,AMZN,211.3747171995036
2026-03-17,215.1999969482422,215.6999969482422,212.42999267578125,212.82000732421875,44969900,AMZN,214.78727881120753
2026-03-18,209.8699951171875,215.13999938964844,208.8300018310547,213.92999267578125,37846600,AMZN,211.02754385456834
2026-03-19,208.75999450683594,209.1199951171875,206.0500030517578,207.05999755859375,36440600,AMZN,207.87009243985892
2026-03-20,205.3699951171875,207.5399932861328,204.32000732421875,207.39999389648438,63694600,AMZN,205.08408775722097
2026-03-23,210.13999938964844,212.8000030517578,209.50999450683594,209.7899932861328,44277400,AMZN,211.9847010219721
2026-03-24,207.24000549316406,209.35000610351562,206.63999938964844,207.9499969482422,35351400,AMZN,207.92791046000247
2026-03-25,211.7100067138672,213.07000732421875,209.89999389648438,211.55999755859375,36388800,AMZN,211.35912385952054
2026-03-26,207.5399932861328,212.88999938964844,207.1199951171875,210.61000061035156,46746000,AMZN,209.88752583643722
2026-03-27,199.33999633789062,206.60000610351562,199.13999938964844,206.4600067138672,56009800,AMZN,201.16410981097312
2026-03-30,200.9499969482422,203.8000030517578,199.97999572753906,201.47999572753906,46373800,AMZN,202.2833430024116
2026-03-31,208.27000427246094,210.27999877929688,204.13999938964844,204.85000610351562,58470100,AMZN,209.08098493831926
2026-04-01,210.57000732421875,213.5800018310547,208.19000244140625,210.44000244140625,45955400,AMZN,211.37672937529226
2026-04-02,209.77000427246094,212.2100067138672,204.89999389648438,206.5399932861328,31453000,AMZN,210.22896448237105
2026-04-06,212.7899932861328,212.9499969482422,209.58999633789062,209.8000030517578,25385500,AMZN,212.10616062104089
2026-04-07,213.77000427246094,213.97000122070312,209.0800018310547,211.24000549316406,28154600,AMZN,211.7899081317879
2026-04-08,221.25,226.10000610351562,219.6199951171875,223.7899932861328,51092700,AMZN,222.4916862469315
2026-04-09,233.64999389648438,233.8000030517578,223.27000427246094,225.22999572753906,65964200,AMZN,231.28910689862016
2026-04-10,238.3800048828125,240.42999267578125,235.2100067138672,235.3000030517578,56912800,AMZN,239.35018203738898
2026-04-13,239.88999938964844,240.0,235.75,237.4499969482422,42166200,AMZN,237.91903896016746
2026-04-14,249.02000427246094,252.17999267578125,241.77999877929688,241.77999877929688,72685000,AMZN,250.7407731331613
2026-04-15,248.5,250.44000244140625,247.1999969482422,249.25,43045200,AMZN,248.0940467901843
2026-04-16,249.6999969482422,250.0,244.1999969482422,248.50999450683594,41895700,AMZN,246.0554620379824
